player_id,player_name,position,career_faceoff_pct,season_faceoff_pct,games_played,handedness
,Danton Heinen,C,,42.4,51.0,
,Danton Heinen,C,,30.8,28.0,
,Marcus Pettersson,D,,,78.0,
,Marcus Pettersson,D,,,47.0,
,Marcus Pettersson,D,,,31.0,
,Zach Benson,LW,,19.0,75.0,
,Alexander Kerfoot,C,,52.5,81.0,
,Peyton Krebs,C,,49.0,81.0,
,Adam Larsson,D,,,82.0,
,Andrew Mangiapane,LW,,41.7,81.0,
,Dmitry Orlov,D,,,76.0,
,Ondřej Palát,LW,,20.0,77.0,
,Jordan Spence,D,,,79.0,
,Kevin Stenlund,C,,59.2,82.0,
,Gustav Nyquist,RW,,36.7,79.0,
,Gustav Nyquist,RW,,45.8,57.0,
,Gustav Nyquist,RW,,0.0,22.0,
,Michael Amadio,C,,51.0,72.0,
,Josh Anderson,RW,,59.2,81.0,
,Viktor Arvidsson,LW,,32.7,67.0,
,Nic Dowd,C,,49.9,82.0,
,Adam Henrique,C,,55.6,81.0,
,Jack McBain,C,,49.8,82.0,
,K'Andre Miller,D,,,74.0,
,Tanner Pearson,LW,,25.0,78.0,
,Taylor Raddysh,RW,,31.0,80.0,
,Jaccob Slavin,D,,,80.0,
,Connor Zary,C,,37.3,54.0,
,Teddy Blueger,C,,50.2,82.0,
,Jordan Eberle,RW,,38.9,42.0,
,Dante Fabbro,D,,,68.0,
,Dante Fabbro,D,,,6.0,
,Dante Fabbro,D,,,62.0,
,Adam Gaudette,C,,50.3,81.0,
,Ryan Hartman,RW,,47.8,69.0,
,Esa Lindell,D,,,80.0,
,Frank Nazar,C,,44.6,53.0,
,Alex Newhook,C,,42.8,82.0,
,Filip Chytil,C,,46.8,56.0,
,Filip Chytil,C,,45.7,41.0,
,Filip Chytil,C,,49.7,15.0,
,Mavrik Bourque,C,,46.3,73.0,
,Ryker Evans,D,,,73.0,
,Martin Fehérváry,D,,,81.0,
,Miro Heiskanen,D,,,50.0,
,Nils Höglander,LW,,0.0,72.0,
,Brett Kulak,D,,,82.0,
,Martin Pospisil,C,,40.8,81.0,
,Damon Severson,D,,,70.0,
,Sam Steel,C,,53.5,79.0,
,Alex Turcotte,C,,45.5,68.0,
,Anthony Beauvillier,LW,,45.8,81.0,
,Anthony Beauvillier,LW,,36.4,63.0,
,Anthony Beauvillier,LW,,53.8,18.0,
,Joel Farabee,LW,,36.7,81.0,
,Joel Farabee,LW,,30.6,50.0,
,Joel Farabee,LW,,53.8,31.0,
,Alexandre Carrier,D,,,79.0,
,Alexandre Carrier,D,,,28.0,
,Alexandre Carrier,D,,,51.0,
,Drew O'Connor,F,,41.7,84.0,
,Drew O'Connor,F,,41.3,53.0,
,Drew O'Connor,F,,43.5,31.0,
,Michael Anderson,D,,,77.0,
,Jonatan Berggren,RW,,29.4,75.0,
,Samuel Girard,D,,,73.0,
,Jiri Kulich,C,,45.5,62.0,
,Eetu Luostarinen,C,,45.2,80.0,
,Tyler Myers,D,,,71.0,
,Vasily Podkolzin,RW,,24.6,82.0,
,Matt Roy,D,,,69.0,
,Philip Tomasino,C,,29.4,61.0,
,Philip Tomasino,C,,50.0,11.0,
,Philip Tomasino,C,,11.1,50.0,
,Cody Ceci,D,,,85.0,
,Cody Ceci,D,,,54.0,
,Cody Ceci,D,,,31.0,
,Jesper Boqvist,C,,42.3,78.0,
,Andrew Copp,C,,50.7,56.0,
,Kevin Hayes,RW,,52.2,64.0,
,Joel Kiviranta,F,,47.9,79.0,
,Charlie McAvoy,D,,,50.0,
,Jake McCabe,D,,,66.0,
,Ryan Pulock,D,,,74.0,
,Mason Appleton,C,,45.5,71.0,
,Paul Cotter,C,,52.6,79.0,
,Kirby Dach,C,,40.3,57.0,
,Niko Mikkola,D,,,76.0,
,Thomas Novak,C,,42.7,54.0,
,Thomas Novak,C,,43.0,52.0,
,Thomas Novak,C,,33.3,2.0,
,Lukas Reichel,LW,,39.9,70.0,
,Nicholas Robertson,LW,,42.9,69.0,
,Nikita Zadorov,D,,,81.0,
,Justin Brazeau,F,,23.1,76.0,
,Justin Brazeau,F,,23.1,57.0,
,Justin Brazeau,F,,,19.0,
,Ryan Lindgren,D,,,72.0,
,Ryan Lindgren,D,,,54.0,
,Ryan Lindgren,D,,,18.0,
,Brandon Tanev,LW,,22.6,79.0,
,Brandon Tanev,LW,,25.9,60.0,
,Brandon Tanev,LW,,0.0,19.0,
,Brian Dumoulin,D,,,80.0,
,Brian Dumoulin,D,,,61.0,
,Brian Dumoulin,D,,,19.0,
,Lars Eller,C,,52.2,80.0,
,Lars Eller,C,,56.0,17.0,
,Lars Eller,C,,51.0,63.0,
,Cody Glass,C,,51.2,65.0,
,Cody Glass,C,,52.7,51.0,
,Cody Glass,C,,47.4,14.0,
,Erik Černák,D,,,76.0,
,Justin Danforth,RW,,49.5,61.0,
,Brandon Duhaime,RW,,41.9,82.0,
,Garnet Hathaway,RW,,36.8,67.0,
,Erik Haula,LW,,52.6,69.0,
,Nick Jensen,D,,,71.0,
,Jacob Middleton,D,,,67.0,
,Logan O'Connor,RW,,38.6,80.0,
,Adam Pelech,D,,,60.0,
,Michael Rasmussen,C,,46.4,77.0,
,Braden Schneider,D,,,80.0,
,Tyler Seguin,C,,52.9,20.0,
,Colton Sissons,C,,54.8,72.0,
,Trevor van Riemsdyk,D,,,82.0,
,Kevin Bahl,D,,,73.0,
,Mathew Barzal,C,,42.3,30.0,
,Jonas Brodin,D,,,50.0,
,Sam Carrick,C,,54.2,80.0,
,Jamie Drysdale,D,,,70.0,
,Joel Edmundson,D,,,73.0,
,Gage Goncalves,C,,50.0,60.0,
,Blake Lizotte,C,,51.2,59.0,
